FIPS_ADMIN,C,4;GMI_ADMIN,C,254;ADMIN_NAME,C,42;FIPS_CNTRY,C,2;GMI_CNTRY,C,3;CNTRY_NAME,C,40;POP_ADMIN,N,9,0;TYPE_ENG,C,26;TYPE_LOC,C,50;SQKM,N,12,2;SQMI,N,12,2;COLOR_MAP,C,2;test,N,5,3;test2,N,5,3
AA;ABW;Aruba;AA;ABW;Aruba;67074;;;200.35;77.35;10;3.347;
AF05;AFG-BAM;Bamian;AF;AFG;Afghanistan;359648;Province;Velayat;19110.86;7378.7; 4;1.881;
AF02;AFG-BDG;Badghis;AF;AFG;Afghanistan;287281;Province;Velayat;23666.66;9137.7;11;1.213;
AF01;AFG-BDK;Badakhshan;AF;AFG;Afghanistan;666668;Province;Velayat;43557.66;16817.61; 2;1.53;
AF03;AFG-BGH;Baghlan;AF;AFG;Afghanistan;661932;Province;Velayat;15600.37;6023.3;10;4.243;
AF30;AFG-BLK;Balkh;AF;AFG;Afghanistan;780597;Province;Velayat;13121.49;5066.21; 6;5.948;
AF06;AFG-FAR;Farah;AF;AFG;Afghanistan;314336;Province;Velayat;54644.52;21098.25; 4;5.752;
AF07;AFG-FRY;Faryab;AF;AFG;Afghanistan;780741;Province;Velayat;23548.17;9091.95; 1;3.315;
AF09;AFG-GHW;Ghowr;AF;AFG;Afghanistan;452659;Province;Velayat;33643.12;12989.61; 9;1.345;
AF08;AFG-GHZ;Ghazni;AF;AFG;Afghanistan;866169;Province;Velayat;20559.6;7938.06; 2;4.212;
AF11;AFG-HER;Herat;AF;AFG;Afghanistan;1034953;Province;Velayat;43280.17;16710.47; 8;2.391;
AF10;AFG-HLM;Helmand;AF;AFG;Afghanistan;693416;Province;Velayat;57656.59;22261.21; 8;1.202;
AF31;AFG-JWZ;Jowzjan;AF;AFG;Afghanistan;788647;Province;Velayat;24609.1;9501.57; 8;3.204;
AF13;AFG-KAB;Kabol;AF;AFG;Afghanistan;1943724;Province;Velayat;4716.68;1821.11; 5;4.12;
AF14;AFG-KAP;Kapisa;AF;AFG;Afghanistan;335548;Province;Velayat;5823.94;2248.62; 1;5.761;
AF15;AFG-KNR;Konarha;AF;AFG;Afghanistan;334991;Province;Velayat;10231.88;3950.53; 6;3.273;
AF24;AFG-KNZ;Konduz;AF;AFG;Afghanistan;746035;Province;Velayat;7020.38;2710.57;11;1.062;
AF16;AFG-LGH;Laghman;AF;AFG;Afghanistan;416184;Province;Velayat;6741.17;2602.76; 7;6.173;
AF17;AFG-LWG;Lowgar;AF;AFG;Afghanistan;289699;Province;Velayat;4507.44;1740.32; 8;6.427;
AF19;AFG-NMR;Nimruz;AF;AFG;Afghanistan;138832;Province;Velayat;48193.44;18607.49;12;2.881;
AF18;AFG-NNG;Nangarhar;AF;AFG;Afghanistan;1000884;Province;Velayat;7841.5;3027.6; 4;1.276;
AF20;AFG-ORZ;Oruzgan;AF;AFG;Afghanistan;594877;Province;Velayat;33039.06;12756.38; 5;1.8;
AF21;AFG-PAK;Paktia;AF;AFG;Afghanistan;648285;Province;Velayat;9158.03;3535.92; 1;7.078;
AF29;AFG-PKT;Paktika;AF;AFG;Afghanistan;-99999;Province;Velayat;20116.06;7766.81;12;-4.97;
AF22;AFG-PRV;Parvan;AF;AFG;Afghanistan;676102;Province;Velayat;5670.87;2189.52; 9;1.192;
AF23;AFG-QND;Quandahar;AF;AFG;Afghanistan;765696;Province;Velayat;47170.57;18212.56;11;1.623;
AF32;AFG-SMN;Samangan;AF;AFG;Afghanistan;350690;Province;Velayat;16721.49;6456.17;12;2.097;
AF26;AFG-TKH;Takhar;AF;AFG;Afghanistan;696374;Province;Velayat;15543.42;6001.31; 6;4.48;
AF27;AFG-VRD;Vardak;AF;AFG;Afghanistan;385178;Province;Velayat;7394.53;2855.03;11;5.208;
AF28;AFG-ZAB;Zabol;AF;AFG;Afghanistan;240242;Province;Velayat;19227.2;7423.62; 7;1.249;
AO19;AGO-BEN;Bengo;AO;AGO;Angola;185599;Province;Provincia;34107.15;13168.77;12;5.442;
AO02;AGO-BIE;Bie;AO;AGO;Angola;1257824;Province;Provincia;72372.08;27942.86; 8;1.737;
AO01;AGO-BNG;Benguela;AO;AGO;Angola;720034;Province;Provincia;39724.94;15337.8; 3;1.812;
AO03;AGO-CBN;Cabinda;AO;AGO;Angola;182245;Province;Provincia;7010.1;2706.6; 5;2.599;
AO04;AGO-CCB;Cuando Cubango;AO;AGO;Angola;145349;Province;Provincia;200171.27;77286.14;10;0.726;
AO05;AGO-CNO;Cuanza Norte;AO;AGO;Angola;422629;Province;Provincia;23956.75;9249.7; 1;1.764;
AO06;AGO-CSU;Cuanza Sul;AO;AGO;Angola;727861;Province;Provincia;55729.06;21516.99;11;1.306;
AO07;AGO-CUN;Cunene;AO;AGO;Angola;259391;Province;Provincia;77324.4;29854.95; 5;3.355;
AO08;AGO-HUA;Huambo;AO;AGO;Angola;1703932;Province;Provincia;33397.59;12894.81; 2;5.101;
AO09;AGO-HUI;Huila;AO;AGO;Angola;971599;Province;Provincia;78908.09;30466.41; 9;1.231;
